,Feitian JavaCOS A22 & A40,Nettle 2.0,OpenSSL 0.9.7 & 1.0.2g & 1.0.2k & 1.1.0e,WolfSSL 2.0rc1 & 3.9.0 & 3.10.2,Cryptix JCE 20050328,cryptlib 3.4.3 & 3.4.3.1,Botan 1.5.6 & 1.11.29 & 2.1.0,Nettle 3.2 & 3.3,NXP J2A080 & J2A081 & J3A081 & JCOP 41 V2.2.1,Gemalto GCX4 72K,Libgcrypt 1.6.0 & 1.6.5 & 1.7.6,Bouncy Castle 1.53 (Java),YubiKey NEO,Gemalto GXP E64,HSM Utimaco Security Server Se50,YubiKey 4 & 4 Nano,Libgcrypt 1.6.0 FIPS & 1.6.5 FIPS,GNU Crypto 2.0.1,SunRsaSign OpenJDK 1.8.0,Microsoft CryptoAPI & CNG & .NET,FlexiProvider 1.7p7,G&D SmartCafe 3.2,G&D SmartCafe 4.x & 6.0,HSM SafeNet Luna SA-1700,OpenSSL FIPS 2.0.12 & 2.0.14,Oberthur Cosmo 64,PolarSSL 0.10.0,Libgcrypt 1.7.6 FIPS,Crypto++ 5.6.0 & 5.6.3 & 5.6.5,PuTTY 0.67,NXP J2D081 & J2E145G,Bouncy Castle 1.54 (Java),mbedTLS 1.3.19 & 2.2.1 & 2.4.2,Infineon JTOP 80K,Oberthur Cosmo Dual 72K,PGPSDK 4,PGPSDK 4 FIPS,LibTomCrypt 1.17
1|0|100110,4139,6521,160113,64202,6462,47856,50489,48436,84855,1688,87249,5281,129,1071,5702,0,49914,10982,5431,33619,6435,0,0,15866,48211,867,6572,185,48045,2870,25967,23148,26136,0,4207,26825,9645,16089
1|0|100111,3896,6266,153542,61331,6125,45755,48084,46087,84983,1713,83150,5003,133,941,5496,0,47701,10498,4976,32414,6206,0,0,14964,45855,793,6362,185,46075,2724,24703,22403,24998,0,4020,25428,9463,15158
1|0|101000,3776,5994,146791,58454,5922,43688,46456,44169,81712,1700,80175,4682,108,752,5264,0,45342,9893,4692,30836,6083,0,0,14208,44232,747,5972,163,44113,2642,22791,21491,23928,0,3784,24262,9234,14610
1|0|101001,3641,5608,138912,55979,5645,41358,43632,41774,79637,1519,75952,4504,105,608,5076,0,43230,9311,4359,29036,5802,0,0,13598,41791,758,5703,166,41914,2471,21338,20366,22960,0,3548,22900,9037,13947
1|0|101010,3454,5413,132657,53173,5406,39544,42089,39677,79064,1334,72204,4115,74,468,4825,0,41115,9037,4083,27934,5432,0,0,13000,39758,686,5261,177,39611,2315,19543,19496,21688,0,3315,21794,8824,13330
1|0|101011,3276,5053,126503,50561,5190,37716,39860,38076,79239,1333,68662,3903,76,380,4588,0,38818,8410,3909,26594,5125,0,0,12289,37133,663,5105,129,37730,2196,17888,18392,20397,0,3221,20565,8492,12854
1|0|101100,3162,4833,119281,47546,4954,35792,37583,35723,79118,1316,65196,3636,83,274,4278,0,36804,7965,3648,25017,4781,0,0,11550,36136,637,4819,125,35395,2024,16510,17297,19606,0,3137,19211,8465,11893
1|0|101101,2916,4624,112739,45350,4741,33643,35466,34100,78860,1215,60950,3336,70,214,3963,0,35020,7229,3416,23632,4551,0,0,11075,33661,620,4552,124,33955,1953,14817,16196,18383,0,2910,18110,8120,11171
1|0|101110,2773,4365,105994,42801,4228,31874,33207,32099,79298,1133,57550,3075,79,169,3751,0,33094,6806,3146,22383,4427,0,0,10498,31911,544,4395,114,31608,1844,13364,15354,17405,0,2799,16936,7903,10540
1|0|101111,2542,4042,99299,40137,4149,29846,31362,29938,79281,1017,53895,2882,65,104,3570,0,31198,6397,2916,20964,4051,0,0,9844,29904,487,4024,124,30038,1781,11561,14575,16353,0,2598,15871,7719,9816
1|0|110000,2529,3799,93272,36954,3868,27774,29284,27869,77843,1062,50394,2700,47,93,3395,0,28894,5922,2658,19590,3755,0,0,9224,28339,441,3806,97,27701,1655,9442,13566,15169,0,2376,14827,7698,9407
1|0|110001,2274,3483,86888,34752,3572,26147,27373,26248,68240,933,46974,2486,32,51,3180,0,26700,5514,2476,18723,3460,0,0,8537,25983,472,3636,92,25968,1550,7769,12824,14104,0,2272,13461,7488,8545
1|0|110010,2078,3259,80472,32176,3369,24090,25378,23733,57957,916,43568,2226,19,46,2934,0,24911,5093,2242,16795,3247,0,0,7840,23852,407,3249,100,23983,1372,6166,11877,13162,0,2140,12350,7258,8052
1|0|110011,1899,3046,74215,29644,2917,22332,23272,22344,46902,771,40314,2096,21,22,2668,0,23289,4624,2125,15374,3084,0,0,7189,22161,353,3044,84,21881,1309,4763,10819,12029,0,1946,11173,7099,7226
1|0|110100,1717,2786,68093,26949,2827,20176,21507,20218,36179,734,36986,1798,8,27,2469,0,21075,4233,1932,14403,2751,0,0,6596,20029,351,2666,81,20319,1220,3332,9820,10842,0,1839,9963,7106,6832
1|0|110101,1569,2534,61986,24762,2478,18779,19295,18693,25739,679,33345,1648,6,10,2230,0,19067,3877,1663,12991,2521,0,0,6185,18650,313,2545,67,18476,1075,1837,8957,10019,0,1728,9128,7065,6227
